1,545397291025,84,468.8
2,545397291032,60,573.8
4,545397291049,9,530.2
5,545397291056,91,266.9
6,545397291063,11,877.0
7,545397291070,48,850.0
8,545397291087,11,596.9
9,545397291094,11,31.5
11,545397291148,24,449.8
12,545397291155,76,711.1
14,545397291162,27,346.1
1,545397291179,19,190.2
2,545397291186,53,707.9
3,545397291193,53,772.0
4,545397291209,28,664.9
5,545397291216,80,437.8
6,545397291223,54,368.9
8,545397291230,22,513.4
9,545397291247,84,204.6
10,545397291254,41,369.9
11,545397291261,14,782.7
12,545397291278,89,664.9
13,545397291285,40,352.1
14,545397291292,37,634.4
