491816589115,4,1366x768,843455993202
491816589122,5,1920x1080,843455993219
491816589139,6,1920x1080,843455993226
491816589146,7,1280x800,843455993233
491816589153,8,1024x768,843455993240
491816589160,4,1920x1080,843455993257
491816589177,5,1280x800,843455993264
491816589184,3,1366x768,843455993271
491816589191,5,1920x1080,843455993288
491816589207,6,1920x1080,843455993295
491816589214,7,1280x800,491816589009
491816589221,8,1024x768,289874929123
491816589238,3,1920x1080,289874929130
491816589245,7,1280x800,289874929147
491816589252,7,1366x768,289874929154
491816589269,5,1920x1080,289874929161
491816589276,12,1920x1080,289874929178
739969452017,4,1280x800,289874929185
739969452024,5,1024x768,289874929192
739969452031,6,1366x768,289874929208
739969452048,7,1920x1080,289874929215
739969452055,8,1280x800,289874929222
739969452062,4,1366x768,289874929239
739969452079,5,1920x1080,289874929246
739969452086,3,1920x1080,289874929253
739969452093,5,1280x800,289874929260
739969452109,6,1024x768,289874929277
739969452116,7,1366x768,289874929284
739969452123,8,1366x768,289874929291
739969452130,3,1920x1080,749666959009
739969452147,7,1920x1080,749666959016
739969452154,7,1280x800,749666959023
739969452161,5,1024x768,289874929192
739969452178,12,1024x768,289874929208
739969452185,3,1366x768,289874929215
739969452192,7,1366x768,289874929222
739969452208,7,1920x1080,289874929239
739969452215,5,1920x1080,289874929246
739969452222,12,1280x800,289874929185
739969452239,8,1024x768,749666959016
