843455993202,4,AMD A4 series,128,722414389099
843455993219,8,Core i5,64,722414389099
843455993226,16,AMD Turion 64 X2,512,722414389099
843455993233,2,Pentium Extreme Edition,1024,722414389099
843455993240,2,Core i12,1024,722414389099
843455993257,4,AMD Duron,512,722414389099
843455993264,6,Intel 4004,256,722414389099
843455993271,2,Intel Pentium 4,256,722414389099
843455993288,16,Pentium II,512,766874497000
843455993295,32,AMD Mobile Athlon 64,256,766874497000
491816589009,64,Pentium M,1024,766874497000
289874929123,2,Core i12,1024,766874497000
289874929130,4,AMD Duron,512,766874497000
289874929147,6,Intel 4004,256,766874497000
289874929154,2,Intel Pentium 4,256,766874497000
289874929161,32,AMD Mobile Athlon 64,256,766874497000
289874929178,4,AMD A4 series,128,766874497000
289874929185,8,Core i5,64,398145138000
289874929192,16,AMD Turion 64 X2,512,398145138000
289874929208,2,Pentium Extreme Edition,1024,398145138000
289874929215,2,Core i12,1024,398145138000
289874929222,4,AMD Duron,512,398145138000
289874929239,6,Intel 4004,256,398145138000
289874929246,2,Intel Pentium 4,256,398145138000
289874929253,16,Pentium II,512,398145138000
289874929260,32,AMD Mobile Athlon 64,256,545397291001
289874929277,64,Pentium M,1024,545397291001
289874929284,32,AMD Mobile Athlon 64,256,545397291001
289874929291,2,Core i12,1024,545397291001
749666959009,4,AMD Duron,512,545397291001
749666959016,6,Intel 4004,256,545397291001
749666959023,2,Intel Pentium 4,256,545397291001
