545397291001,94,82,438.5
545397291018,332,337,3736.3
545397291025,297,275,9597.5
545397291032,278,159,9517.7
545397291049,167,72,8677.8
545397291056,199,101,4456.9
545397291063,136,276,7282.1
545397291070,91,47,2542.8
545397291087,257,112,7943.6
545397291094,303,464,3221.6
545397291100,150,27,4478.4
545397291117,64,307,1385.3
545397291124,158,377,354.3
545397291131,323,154,5315.0
545397291148,241,409,3695.3
545397291155,268,145,2746.4
545397291162,323,333,9736.4
545397291179,109,413,9178.7
545397291186,30,305,3967.6
545397291193,21,397,8954.7
545397291209,124,221,7891.7
545397291216,28,473,3445.9
545397291223,246,127,614.9
545397291230,95,343,4152.1
545397291247,323,328,3470.0
545397291254,130,359,6689.4
545397291261,72,471,4129.3
545397291278,250,219,3299.0
545397291285,334,240,4729.0
545397291292,4,479,3314.4
398145138000,212,78,196.9
398145138017,280,6,708.6
398145138024,106,374,907.2
398145138031,163,123,9117.9
398145138048,261,104,3775.2
398145138055,228,127,7271.8
398145138062,139,100,5652.8
398145138079,229,128,2789.5
398145138086,7,376,570.2
398145138093,42,340,7164.0
398145138109,263,60,5339.4
398145138116,96,122,7016.1
398145138123,89,223,7462.1
398145138130,72,172,9000.6
398145138147,264,273,4441.6
398145138154,156,493,2581.3
398145138161,71,194,8822.0
398145138178,205,255,4298.3
398145138185,147,319,9961.8
398145138192,279,52,1975.9
398145138208,274,213,119.8
398145138215,277,273,4646.1
398145138222,300,168,5634.6
398145138239,76,63,7471.5
398145138246,175,319,3971.3
398145138253,43,55,6579.9
398145138260,337,254,6403.4
398145138277,311,372,5840.0
398145138284,263,361,5783.6
398145138291,30,297,3843.0
766874497000,31,317,2807.4
766874497017,310,86,423.0
766874497024,336,427,8595.6
766874497031,35,482,9320.8
766874497048,161,334,3949.3
766874497055,178,71,8773.0
766874497062,182,332,7688.3
766874497079,178,237,8515.2
766874497086,40,256,4785.5
766874497093,264,290,3610.8
766874497109,163,367,486.3
766874497116,265,182,7754.9
766874497123,175,103,9605.5
766874497130,18,148,8533.4
766874497147,121,59,1876.7
766874497154,322,76,2075.3
766874497161,50,347,7023.6
766874497178,131,433,6253.6
766874497185,210,43,6883.7
766874497192,267,224,7258.5
766874497208,79,244,8170.2
766874497215,158,472,881.4
766874497222,277,360,1288.2
766874497239,242,268,6962.4
766874497246,125,163,2671.5
