843455993066,55,1366x768,180,VA,545397291087
843455993073,43,1920x1080,220,TN,545397291087
843455993080,22,1920x1080,300,IPS,545397291087
843455993097,75,1280x800,100,AHVA,545397291087
843455993103,100,1024x768,160,IPS,545397291087
739969452246,22,1920x1080,180,AHVA,766874497086
739969452253,43,1280x800,220,IPS,766874497086
739969452260,53,1366x768,180,VA,766874497086
739969452277,55,1920x1080,300,VA,766874497086
739969452284,43,1920x1080,100,TN,766874497086
739969452291,22,1280x800,160,IPS,766874497086
796176693008,75,1024x768,180,AHVA,766874497086
796176693015,100,1920x1080,160,IPS,766874497086
796176693022,43,1280x800,120,AHVA,398145138086
796176693039,22,1366x768,300,IPS,398145138086
796176693046,75,1920x1080,100,AHVA,398145138086
796176693053,43,1920x1080,160,VA,398145138086
796176693060,22,1280x800,180,TN,398145138086
796176693077,75,1024x768,220,IPS,398145138086
796176693084,55,1366x768,350,AHVA,398145138086
796176693091,43,1920x1080,300,IPS,545397291087
796176693107,22,1280x800,100,AHVA,545397291087
796176693114,75,1366x768,160,IPS,545397291087
796176693121,100,1920x1080,220,AHVA,545397291087
796176693138,43,1920x1080,100,IPS,545397291087
796176693145,22,1280x800,300,VA,545397291087
796176693152,75,1024x768,100,TN,545397291087
796176693169,55,1366x768,160,IPS,545397291087
796176693176,43,1366x768,180,AHVA,545397291087
796176693183,22,1920x1080,220,IPS,545397291087
796176693190,75,1920x1080,300,AHVA,545397291087
796176693206,100,1280x800,180,AHVA,545397291087
796176693213,128,1024x768,220,IPS,545397291087
